# Segments csv created Sun Mar  5 10:54:31 2017
# num_ytids=22160, num_segs=22160, num_unique_labels=527, num_positive_labels=52882
# YTID, start_seconds, end_seconds, positive_labels
CNETKbKHhwc, 0.000, 5.000, "/m/014zdl"
CNOv30jkKSU, 30.000, 40.000, "/m/012f08,/m/07q2z82,/m/07yv9,/m/0k4j"
COCKTV6WlHk, 30.000, 40.000, "/m/07r_k2n"
CONgGb-D4Iw, 30.000, 40.000, "/m/01z5f,/m/068hy,/m/0bt9lr,/m/0jbk"
CRoNhfLufDA, 30.000, 40.000, "/m/07pxg6y,/m/09x0r"
CSfbHfwsIVE, 20.000, 30.000, "/m/01y3hg,/m/02fs_r,/m/07pp_mv,/m/09x0r"
CT1RIngdLQI, 30.000, 40.000, "/m/03j1ly,/m/03kmc9,/m/04qvtq"
CTBFPn_S5u0, 30.000, 40.000, "/m/01z5f,/m/05tny_,/m/068hy,/m/07pyy8b,/m/07rc7d9,/m/0bt9lr,/m/0jbk"
CTXdsjN9yDs, 160.000, 170.000, "/m/03p19w,/m/07yv9"
CVBCHb30GsM, 30.000, 40.000, "/m/030rvx"
CX0N1ZASnhc, 10.000, 20.000, "/m/07pxg6y"
CYFviVZrLbk, 150.000, 160.000, "/m/04rlf,/m/07qsvvw,/m/09x0r"
CYc-H8Wg-MQ, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/m/07q2z82,/m/07yv9,/t/dd00067"
Ca3amArj99E, 50.000, 60.000, "/m/0l156k"
CeIiAEQTbhY, 0.000, 5.000, "/m/03qc9zr"
CeNquhcDSgc, 190.000, 200.000, "/m/04gxbd,/m/07yv9,/m/09x0r,/m/0k4j"
CgTc_-A_Gzw, 0.000, 8.000, "/m/0l156k"
Ch5nAE76soo, 250.000, 260.000, "/m/015lz1,/m/04rlf,/m/07sr1lc,/t/dd00127"
ChAIfLwT6gU, 80.000, 90.000, "/m/01d380,/m/07k1x,/m/0_ksk"
CjMNRR1qCA4, 30.000, 40.000, "/m/02rhddq,/m/07yv9"
Cjem1GlpQ5w, 10.000, 20.000, "/m/07hvw1,/m/07r04,/m/07yv9,/m/09x0r,/t/dd00128"
CjzVs59SyQY, 30.000, 40.000, "/m/01yg9g,/m/09x0r"
Cm89PM3pc4w, 330.000, 340.000, "/m/01bjv,/m/07qv_d5,/m/07yv9,/t/dd00128"
CnYUEif7qF8, 140.000, 150.000, "/m/01y3hg,/m/02mk9,/m/07yv9"
CnYWJp2bknU, 50.000, 60.000, "/m/02x984l,/m/07r04,/m/07yv9"
CnnszUoFGcQ, 0.000, 10.000, "/m/07rn7sz,/m/09x0r"
Cr8E6wkiOP4, 30.000, 40.000, "/m/07r_k2n,/m/09x0r"
Cu7uy6m4rw0, 90.000, 100.000, "/m/07rknqz,/m/07yv9,/m/0k4j,/m/0ltv"
CvHu8TxyXXQ, 30.000, 40.000, "/m/012n7d,/m/03j1ly,/m/03kmc9"
Cwt3ChZeJT0, 30.000, 40.000, "/m/014zdl"
Cwur_jvxMzY, 360.000, 370.000, "/m/025wky1,/m/07yv9,/m/09x0r,/m/0k4j"
CxmMmFS5Arw, 10.000, 20.000, "/m/01j4z9,/m/09x0r,/t/dd00128"
Cz7jNYAys-8, 40.000, 50.000, "/m/01jwx6,/m/07pb8fc,/m/07r04,/m/07yv9"
Czmb6tEwFE8, 0.000, 5.000, "/m/03qc9zr"
D-c9nA6GyfA, 10.000, 20.000, "/m/07qqyl4,/m/09x0r"
D0MtSXYS1kY, 120.000, 130.000, "/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq"
D1hgHUMsBQQ, 20.000, 30.000, "/m/02mk9,/m/03p19w,/m/07yv9"
D4GhIt5THAI, 0.000, 7.000, "/m/03qc9zr,/m/04rlf,/m/09x0r"
D6iYxYBfIOg, 590.000, 600.000, "/m/0463cq4,/m/04rlf,/m/09x0r"
D6thZbNv148, 13.000, 23.000, "/m/03qc9zr,/m/04rlf,/m/0jbk"
D8K-qmtf8Gc, 30.000, 40.000, "/m/07yv9,/m/09x0r,/m/0gvgw0,/t/dd00128"
D8UVrqlv0BM, 370.000, 380.000, "/m/03l9g"
D9HNFEb9mX0, 30.000, 40.000, "/m/01j4z9"
D9QwDtohImc, 20.000, 30.000, "/m/01bjv,/m/07yv9,/m/09x0r"
DAU7ImBNu0g, 50.000, 60.000, "/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00136"
DCtGwbr2_yg, 130.000, 140.000, "/m/03p19w"
DD0Ry32NP5c, 16.000, 26.000, "/m/05x_td,/m/09x0r"
DDiPb9JNITM, 30.000, 40.000, "/m/0195fx,/m/01g50p,/m/06d_3"
DG75NdcVMzU, 30.000, 40.000, "/m/01b82r,/m/07pdjhy,/m/083vt"
DITadeFq088, 0.000, 7.000, "/m/07pp_mv"
DIc3zDgrbZg, 50.000, 60.000, "/m/01z5f,/m/068hy,/m/0bt9lr,/m/0jbk"
DKFz6eMHLfI, 30.000, 40.000, "/m/012n7d,/m/03j1ly,/m/03kmc9,/m/03qjg,/m/085jw"
DMMCiQB7-E4, 30.000, 40.000, "/m/07pp_mv,/m/09x0r,/m/0c3f7m"
DOtBB70Jgu4, 60.000, 70.000, "/m/03wwcy,/m/05tny_,/m/068hy,/m/0bt9lr,/m/0jbk"
DP0ZCe7cIa0, 40.000, 50.000, "/m/0195fx,/m/01g50p,/m/06d_3,/m/07jdr,/m/07rwm0c"
DPModTuJA_M, 21.000, 31.000, "/m/07yv9,/m/0btp2,/m/0k4j"
DPZzzJrgzqo, 220.000, 230.000, "/m/03l9g"
DUsgjCMYyxQ, 30.000, 40.000, "/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00136"
DX05CfULHGA, 23.000, 33.000, "/m/03kmc9,/m/0dgbq"
DXUmi-gSRww, 10.000, 20.000, "/m/01b_21,/m/068hy,/m/0bt9lr,/m/0jbk"
D_zlJGQz0Eg, 30.000, 40.000, "/m/03kmc9,/m/06hck5,/m/06wzb,/m/0dgbq"
DaMvU_MSjoo, 20.000, 30.000, "/m/03qc9zr,/m/0463cq4,/m/09x0r"
Db06mHi_gaY, 10.000, 20.000, "/m/03qtwd,/m/07q4ntr,/m/09x0r"
DbUJsbGLJUo, 230.000, 240.000, "/m/01d380,/m/07k1x,/m/0_ksk"
DdU5L4bDiAY, 150.000, 160.000, "/m/04rlf,/m/07qqyl4,/m/09x0r"
DeCH63ZLRCQ, 10.000, 20.000, "/m/01d380,/m/07k1x,/m/0_ksk"
DeNCHPXfMhM, 30.000, 40.000, "/m/02qldy,/m/0463cq4,/m/05zppz,/m/09x0r"
DeP1H91YB10, 360.000, 370.000, "/m/01280g,/m/09x0r,/m/0jbk"
DegfC2mWReU, 460.000, 470.000, "/m/0195fx,/m/01g50p,/m/06d_3,/m/07jdr,/m/07rwm0c"
Di7Rs4QmYKI, 150.000, 160.000, "/m/01kcd,/m/04fq5q,/m/04rlf"
Dia6QIxORbM, 20.000, 30.000, "/m/02l6bg,/m/07yv9,/m/09x0r,/m/0k5j"
DibsRylvT18, 10.000, 20.000, "/m/07yv9,/t/dd00130"
Djc2Sx5RoNg, 0.000, 10.000, "/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk,/m/0lyf6"
DleBZ7FEZic, 320.000, 330.000, "/m/012f08,/m/07r04,/m/07yv9,/m/09x0r,/m/0btp2"
DngdndkOhLo, 40.000, 50.000, "/m/03l9g"
Do9Dffb6vHA, 30.000, 40.000, "/m/03kmc9,/m/0dgbq"
DpbEoAEI0Sk, 110.000, 120.000, "/m/03v3yw,/m/07yv9,/m/09x0r,/m/0k4j"
Dq29NSr8wDA, 40.000, 50.000, "/m/01z5f,/m/068hy,/m/0bt9lr,/m/0jbk"
DqOo0Qol89o, 40.000, 50.000, "/m/02l6bg,/m/07yv9,/t/dd00129"
DraWmty4nzI, 160.000, 170.000, "/m/01g50p,/m/04zmvq,/m/06d_3,/m/07jdr"
DsCWHwjaxhE, 30.000, 40.000, "/m/01j4z9,/m/01yg9g,/m/07yv9"
DsFvp-0mEZA, 30.000, 40.000, "/m/02_41,/m/03kmc9,/m/03m9d0z,/m/0dgbq,/t/dd00092"
DtdUYobU_EI, 140.000, 150.000, "/m/01g50p,/m/0284vy3,/m/06d_3,/m/07jdr,/t/dd00048"
DwMIru734Gw, 60.000, 70.000, "/m/012f08,/m/04gxbd,/m/07yv9,/m/0k4j"
DwhwLZ5_EaU, 40.000, 50.000, "/m/07yv9,/m/09ct_,/m/0k5j"
Dx9Mh8_fpD8, 30.000, 40.000, "/m/0463cq4,/m/09x0r"
E-F3eGRXiBI, 60.000, 70.000, "/m/07yv9,/m/0btp2,/m/0k4j"
E0EUGWxAKUY, 50.000, 60.000, "/m/04rlf,/m/068hy,/m/0bt9lr,/m/0ghcn6,/m/0jbk"
E0Q3USvTnXQ, 10.000, 20.000, "/m/068hy,/m/09x0r,/m/0bt9lr,/m/0ghcn6,/m/0jbk"
E1wV4qdUVSk, 0.000, 10.000, "/m/07rknqz,/m/07yv9,/m/0k4j,/m/0ltv"
E33luTTDMPg, 140.000, 150.000, "/m/01g50p,/m/0284vy3,/m/06d_3,/m/07jdr,/m/07rwm0c"
E3V9Cw05yqU, 70.000, 80.000, "/m/01d380,/m/07k1x,/m/0_ksk"
E3YwyNv5zwk, 20.000, 30.000, "/m/07yv9,/m/0h9mv,/m/0k4j"
E4U4ZLHm4WI, 180.000, 190.000, "/m/03kmc9,/m/0dgbq"
E4m7ufzmUHo, 15.000, 25.000, "/m/03j1ly,/m/03kmc9,/m/04qvtq"
E6050fTGcUY, 370.000, 380.000, "/m/01d380,/m/07k1x,/m/0_ksk"
E7_4m7rS1t8, 390.000, 400.000, "/m/03kmc9,/m/0dgbq"
E7tueVnDYDE, 30.000, 40.000, "/m/03j1ly,/m/03kmc9,/m/04qvtq"
E9MhfMjq6FI, 90.000, 100.000, "/m/07qv_d5,/m/07yv9,/m/0k4j,/t/dd00128"
EACAJfkMHgQ, 60.000, 70.000, "/m/030rvx"
EApB0DJ3ECg, 200.000, 210.000, "/m/03p19w,/t/dd00128"
EBwiCVS_gBs, 40.000, 50.000, "/m/01b_21,/m/01hsr_,/m/068hy,/m/0bt9lr,/m/0jbk"
EGkAJINaFTk, 30.000, 40.000, "/m/07r_k2n,/m/09x0r"
EHEQ3Z2KysI, 290.000, 300.000, "/m/07yv9,/m/09ct_,/m/0k5j"
EHgzJwWi5vg, 24.000, 34.000, "/m/07pp_mv"
EHiz-Ac_AgU, 21.000, 31.000, "/m/04rlf,/m/07rc7d9,/m/09x0r"
EIi8kWmZZgA, 90.000, 100.000, "/m/02l6bg,/m/07yv9,/m/09ct_,/m/0k5j"
ELt6A2MeO2E, 0.000, 10.000, "/m/01280g,/m/04cvmfc,/m/0cdnk,/m/0jbk"
ENRuuwVZrpY, 80.000, 90.000, "/m/04cvmfc,/m/04rlf,/m/0cdnk,/m/0jbk"
ESgFP9ibyg8, 70.000, 80.000, "/m/01yg9g,/m/02mk9,/m/09x0r"
ESlAhH9pVXs, 10.000, 20.000, "/m/03kmc9,/m/0dgbq"
EUn5O3SywCE, 30.000, 40.000, "/m/012ndj,/m/03j1ly,/m/07yv9,/m/0btp2,/m/0k4j"
EW8bLio25lE, 30.000, 40.000, "/m/03kmc9,/m/0dgbq"
EX-5P7YdWsc, 10.000, 20.000, "/m/07pp_mv,/m/09x0r,/t/dd00128"
EYUVC-gWyb8, 30.000, 40.000, "/m/07pxg6y"
EZ5Kgpr9fhA, 470.000, 480.000, "/m/01g50p,/m/06d_3,/m/07jdr,/m/07qv_d5,/m/07yv9,/m/0912c9"
E_GwHraQ-L4, 30.000, 40.000, "/m/03j1ly,/m/03kmc9,/m/04qvtq"
Ea6wuY5zHDc, 0.000, 3.000, "/m/014zdl,/m/04rlf"
EaQTfekDdgw, 150.000, 160.000, "/m/014yck,/m/07yv9,/m/0k5j"
EakI8v4Ztt4, 30.000, 40.000, "/m/05tny_,/m/068hy,/m/07ppn3j,/m/0bt9lr,/m/0jbk"
EbNHOmwkQjM, 30.000, 40.000, "/m/07yv9,/m/0gvgw0"
Ec3-d7HqNtw, 80.000, 90.000, "/m/01d380,/m/07k1x,/m/0_ksk"
Ed2sxrdt8vQ, 30.000, 40.000, "/t/dd00002"
EelLPaFM9Jw, 90.000, 100.000, "/m/0199g,/m/04rlf,/m/06_fw,/m/07yv9"
EfzNaAVrqFk, 7.000, 17.000, "/m/014zdl,/m/07pxg6y,/m/07qsvvw"
EkmKuR0RkZM, 15.000, 25.000, "/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00066"
ElYFnQa1fug, 510.000, 520.000, "/m/01d380,/m/07k1x,/m/0_ksk"
EqSluSsMXE0, 30.000, 40.000, "/m/01y3hg,/m/0c3f7m"
EsiR1ZbHetU, 10.000, 20.000, "/m/01j3sz,/m/04rlf,/m/07p6fty,/m/09x0r"
EtWlRyFehqY, 480.000, 490.000, "/m/01g50p,/m/0284vy3,/m/06d_3,/m/07jdr,/m/07rwm0c"
EthWDtWBo00, 10.000, 20.000, "/m/01g50p,/m/04zmvq,/m/06d_3,/m/06hck5,/m/06wzb,/m/07jdr,/m/07rjwbb,/m/07rwm0c"
EusazHENuKk, 30.000, 40.000, "/m/07yv9,/m/0gvgw0"
EuvNA-fGZG4, 30.000, 40.000, "/m/0199g,/m/09x0r"
Ev9MUVSr69Q, 180.000, 190.000, "/m/01j4z9,/m/09x0r"
EviorW0wbVo, 500.000, 510.000, "/m/01y3hg,/m/09x0r,/t/dd00125"
Ew6B3Tq2vmo, 40.000, 50.000, "/m/01yg9g,/t/dd00065"
Ewwd8Ui4KuM, 50.000, 60.000, "/m/068hy,/m/07ppn3j,/m/0bt9lr,/m/0jbk"
ExqedxdXuBc, 70.000, 80.000, "/m/07hvw1,/m/07yv9,/m/09x0r,/m/0btp2,/m/0k4j"
F0LSs8MZN4w, 20.000, 30.000, "/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq"
F23ZBgY1M_A, 0.000, 10.000, "/m/05x_td,/m/07qv_d5,/m/0912c9,/m/09x0r"
F2ALY1sxoPI, 80.000, 90.000, "/m/07hvw1,/m/07yv9,/m/0k4j"
F47KWnLj7tQ, 20.000, 30.000, "/m/04rlf,/m/07rn7sz,/t/dd00125"
F4EPO4JQ-ow, 30.000, 40.000, "/m/025rv6n,/m/07qwf61,/m/0dbvp"
F68pM9RdV68, 120.000, 130.000, "/m/07rknqz,/m/07yv9,/m/0k4j"
F6H_WgWV8MI, 70.000, 80.000, "/m/03l9g"
F6KV2dvJIf4, 40.000, 50.000, "/m/068hy,/m/0bt9lr,/m/0ghcn6,/m/0jbk"
F6l3MRb__G0, 400.000, 410.000, "/m/012n7d,/m/03j1ly,/m/03kmc9"
F8gNKcem_1M, 80.000, 90.000, "/m/03v3yw,/m/07yv9,/m/0k4j"
F8lBDnu-afQ, 120.000, 130.000, "/m/01g50p,/m/04zmvq,/m/06d_3,/m/07jdr"
F9nxC_387WE, 50.000, 60.000, "/m/07yv9,/m/0h9mv,/m/0k4j"
F9qxvpX7ndI, 330.000, 340.000, "/m/07phhsh,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00129"
FAPOw5Hptz0, 400.000, 410.000, "/m/0195fx,/m/01g50p,/m/06d_3,/m/07jdr"
FAV0WnQtZqU, 140.000, 150.000, "/m/07hvw1,/m/07r04,/m/07yv9"
FD7parB_sk8, 140.000, 150.000, "/m/04rlf,/m/07q4ntr,/m/09x0r,/t/dd00129"
FDFO-hImAPs, 30.000, 40.000, "/m/07q4ntr,/m/07sr1lc,/m/09x0r"
FGaosBHdFMA, 160.000, 170.000, "/m/07qqyl4"
FHfp0m8MPuY, 10.000, 20.000, "/m/014yck,/m/02l6bg,/m/07yv9,/m/0k5j"
FIXuC8uQyig, 60.000, 70.000, "/m/0199g,/m/09x0r,/t/dd00129"
FKJuDOAumSk, 20.000, 30.000, "/m/02mfyn"
FKOfuqjlofg, 170.000, 180.000, "/m/01b82r,/m/083vt"
FMmal1WIKZc, 250.000, 260.000, "/m/07pxg6y"
FOttjI3p1mM, 230.000, 240.000, "/m/01g50p,/m/0284vy3,/m/06d_3,/m/07jdr,/m/07rwm0c,/t/dd00048"
FTYgwHJUkaY, 10.000, 20.000, "/m/05tny_,/m/068hy,/m/07rc7d9,/m/0bt9lr,/m/0jbk"
FTjC1Ju0Mww, 6.000, 16.000, "/m/0463cq4,/m/04rlf,/m/09x0r"
FU0W7AHnJ6M, 540.000, 550.000, "/m/025rv6n,/m/07qwf61,/m/0dbvp"
FWb73pA7Xu4, 10.000, 20.000, "/m/01yrx,/m/04cvmfc,/m/0cdnk,/m/0jbk"
FYs6VpeUN_w, 30.000, 40.000, "/m/04rlf,/m/07r_k2n,/m/09x0r"
FaYQcP0hKmU, 330.000, 340.000, "/m/03qc9zr,/m/04rlf,/t/dd00125"
Fbxs3CnA5OY, 70.000, 80.000, "/m/07rn7sz,/m/09x0r,/t/dd00128"
FeRaDiSPb2c, 17.000, 27.000, "/m/05tny_,/m/068hy,/m/0bt9lr,/m/0jbk"
FgIULzbbDNw, 420.000, 430.000, "/m/04rlf,/m/07rn7sz,/m/09x0r"
FgMI3yEXj1Q, 30.000, 40.000, "/m/03kmc9,/m/0dgbq"
FjiCMXDhUas, 0.000, 10.000, "/m/01z5f,/m/025_jnm,/m/04rlf,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk"
FkzyzgpS-nU, 0.000, 10.000, "/m/01bjv,/m/07yv9,/m/09x0r,/t/dd00128"
FlpraUXdnkg, 30.000, 40.000, "/m/012f08,/m/07r04,/m/07yv9,/m/0btp2"
FmK8BBMXgcM, 0.000, 10.000, "/m/07pp_mv,/m/09x0r"
FmYgDLclepw, 10.000, 20.000, "/m/04fq5q,/m/09x0r"
Fn82yAnl7C0, 50.000, 60.000, "/m/04rlf,/m/07p6fty,/t/dd00126"
FuTiynEpLpE, 80.000, 90.000, "/m/04rlf,/m/05tny_,/m/068hy,/m/07rc7d9,/m/0bt9lr,/m/0jbk,/t/dd00136"
FvedCIKv-Ys, 0.000, 6.000, "/m/01bjv,/m/07yv9,/m/09x0r"
Fw09tDLa-78, 0.000, 10.000, "/m/01z5f,/m/05tny_,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk"
FyFOaDtKdRY, 30.000, 40.000, "/m/030rvx,/m/09x0r"
FyQuHLiMuIk, 6.000, 16.000, "/t/dd00134"
FyeoeFKbwNc, 120.000, 130.000, "/m/01g50p,/m/06d_3,/m/07jdr,/t/dd00048"
G16Tk0yfR0Q, 7.000, 17.000, "/m/0199g,/m/07yv9,/m/09x0r"
G1zYc7B4m3E, 210.000, 220.000, "/m/0l156k"
G4Rp68qV_aw, 40.000, 50.000, "/m/07q2z82,/m/07rknqz,/m/07yv9,/m/0k4j,/m/0ltv"
G5D054W3VDE, 20.000, 30.000, "/m/068hy,/m/07qf0zm,/m/0bt9lr,/m/0jbk"
G6wNptdSYbY, 400.000, 410.000, "/m/07pws3f,/m/07qqyl4,/m/09x0r"
G7vXKtePlGM, 10.000, 20.000, "/m/05tny_,/m/068hy,/m/0bt9lr,/m/0jbk"
G8iTuTi8ywU, 90.000, 100.000, "/m/0342h,/m/04rlf,/m/064t9,/m/07rwj3x,/m/07sr1lc,/t/dd00126"
G8tT-uKj3Ls, 30.000, 40.000, "/m/015p6,/m/020bb7,/m/025rv6n,/m/07pggtn,/m/07qwf61,/m/0dbvp"
G958vjLYBcI, 0.000, 10.000, "/m/01g50p,/m/0284vy3,/m/06d_3,/m/06hck5,/m/06wzb,/m/07jdr,/m/07rjwbb,/m/07rwm0c"
G9yiadmayg8, 60.000, 70.000, "/m/068hy,/m/07sx8x_,/m/0bt9lr,/m/0jbk"
GCYra4Z6wmc, 30.000, 40.000, "/m/07qqyl4,/m/09x0r,/m/0_1c,/t/dd00128"
GDk_-DgGipo, 30.000, 40.000, "/m/07q4ntr,/m/09x0r"
GHDi-lffJvo, 0.000, 10.000, "/m/068hy,/m/07pyy8b,/m/0bt9lr,/m/0jbk"
GIMv2yi-CSI, 28.000, 38.000, "/m/03p19w,/m/09x0r"
GINSnOecCt8, 28.000, 38.000, "/m/0463cq4,/m/04rlf"
GKc8PCTen8Q, 350.000, 360.000, "/m/01g50p,/m/0284vy3,/m/06d_3,/m/07jdr"
GOCs7Ng521Y, 110.000, 120.000, "/m/04229,/m/07yv9,/m/0cmf2,/m/0k5j"
GOzZEVXZrDg, 580.000, 590.000, "/m/01g50p,/m/06d_3,/m/07jdr,/m/07rwm0c,/t/dd00048"
GQd7VWjX67E, 0.000, 10.000, "/m/014yck,/m/07yv9,/m/0k5j,/t/dd00128"
GRs8W3Yh46E, 10.000, 20.000, "/m/01d380,/m/08j51y,/m/09x0r"
GSpjMRP9D38, 30.000, 40.000, "/m/01b82r,/m/083vt"
GTkKAZSc9gY, 40.000, 50.000, "/m/01z5f,/m/068hy,/m/0bt9lr,/m/0jbk"
GUn5_aGpNKM, 30.000, 40.000, "/m/07phhsh,/m/07yv9,/m/0k4j"
GXJg8cnsP1k, 0.000, 5.000, "/m/014zdl,/m/07qsvvw"
GZUC9TF1kik, 70.000, 80.000, "/m/05tny_,/m/068hy,/m/07rc7d9,/m/0bt9lr,/m/0jbk"
G_TrD7F1FXc, 20.000, 30.000, "/m/0463cq4,/m/09x0r"
Ga_0YqOBcew, 150.000, 160.000, "/m/01z5f,/m/04rlf,/m/05tny_,/m/07rc7d9,/m/09x0r"
GamZltmhYuc, 60.000, 70.000, "/m/05tny_,/m/068hy,/m/0bt9lr,/m/0jbk"
GdXtn6Ei6Kw, 120.000, 130.000, "/m/0463cq4,/m/07mzm6"
GgDUr88YCDg, 160.000, 170.000, "/m/01d380,/m/04fgwm,/m/08j51y,/m/09x0r,/t/dd00125"
GhV2uSuSsAs, 80.000, 90.000, "/m/02mfyn"
Gi2q0XWyAs4, 40.000, 50.000, "/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00129,/t/dd00136"
GiADSSogi10, 20.000, 30.000, "/m/0195fx,/m/01g50p,/m/06d_3,/m/07jdr,/t/dd00048"
Giu_Y-RgLVU, 50.000, 60.000, "/m/07yv9,/m/0h9mv,/m/0k4j,/m/0ltv"
GjmNjbkKaPk, 60.000, 70.000, "/m/04_sv,/m/07yv9"
Gkl_422N6Dc, 140.000, 150.000, "/m/01b82r,/m/083vt"
Glc6Ekc67OE, 30.000, 40.000, "/m/05tny_,/m/068hy,/m/07qf0zm,/m/07rc7d9,/m/0bt9lr,/m/0ghcn6,/m/0jbk"
GonJ36fA1wY, 10.000, 20.000, "/m/01280g,/m/0cdnk,/m/0jbk"
GpEaVnWGeDg, 30.000, 40.000, "/m/07yv9,/m/0gvgw0"
Gpk-aZXZN10, 60.000, 70.000, "/m/07pp_mv"
Gr0EfKuJsTw, 50.000, 60.000, "/m/02mk9,/m/04229,/m/07yv9,/m/09x0r"
GvIbmBnSHcc, 70.000, 80.000, "/m/04_sv,/m/07qv_d5,/m/07yv9,/m/0912c9,/m/0k4j"
Gvbw_T32FSk, 5.000, 15.000, "/m/07r04,/m/07yv9,/m/09x0r,/m/0gvgw0"
Gx9hRJxmncQ, 11.000, 21.000, "/m/03l9g"
GyygYycarL0, 80.000, 90.000, "/m/0c3f7m"
Gz6Fmcr7tXQ, 230.000, 240.000, "/m/0195fx,/m/0284vy3,/m/06d_3,/m/07jdr,/t/dd00048"
H18auYh6y-Q, 160.000, 170.000, "/m/01280g,/m/04rlf,/m/09x0r,/m/0jbk,/t/dd00129"
H7KmmTnSDOM, 30.000, 40.000, "/m/025rv6n,/m/07qwf61,/m/0dbvp"
H7xKYPGjhhg, 30.000, 40.000, "/t/dd00134"
H9D844BXDyM, 10.000, 20.000, "/m/0463cq4,/m/09x0r"
HA5MeuJwgw4, 40.000, 50.000, "/m/01j4z9,/m/02mk9"
HAKA7KlwvmQ, 30.000, 40.000, "/m/012f08,/m/01jwx6,/m/02mk9,/m/07yv9,/m/096m7z,/m/0chx_,/m/0k4j"
HAzcTjfVq34, 330.000, 340.000, "/m/0199g,/m/09x0r"
HDDxzqEUy74, 150.000, 160.000, "/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq"
HDQyCmiloQQ, 30.000, 40.000, "/m/012ndj,/m/03j1ly,/m/03kmc9"
HDtWg47wzGg, 130.000, 140.000, "/m/012n7d,/m/03j1ly,/m/03kmc9"
HFpfDaLZtzQ, 30.000, 40.000, "/m/01y3hg,/m/02fs_r,/m/09x0r,/m/0c3f7m"
HGtnqoU1kdc, 90.000, 100.000, "/m/07hvw1,/m/07yv9,/t/dd00129"
HHmElVHmIIs, 20.000, 30.000, "/m/012f08,/m/01bjv,/m/02rhddq,/m/07yv9"
HLDmcjeDohc, 50.000, 60.000, "/m/02cjck,/m/04229,/m/04rlf,/m/07yv9,/m/0cmf2,/m/0k5j"
HMK0GI0QxPY, 40.000, 50.000, "/m/0463cq4,/m/09x0r"
HMqNAodmntc, 70.000, 80.000, "/m/07r04,/m/07yv9,/m/0gvgw0"
HOlAFkMT1Do, 30.000, 40.000, "/m/02mfyn,/m/03kmc9"
HQfnea5gn-I, 30.000, 40.000, "/m/04rlf,/m/0912c9,/m/0g6b5,/t/dd00128"
HVv0jG7J0to, 490.000, 500.000, "/m/0261r1,/m/0463cq4,/m/04rlf,/m/09x0r,/t/dd00001,/t/dd00002"
HYI_miIYvhI, 70.000, 80.000, "/m/0l156k"
HbSH5rQcnh8, 200.000, 210.000, "/m/01b82r,/m/07pdjhy,/m/083vt"
HcTWvbaqGEM, 130.000, 140.000, "/m/03p19w"
Hd6_O3dlePI, 270.000, 280.000, "/m/04zjc,/m/07qqyl4,/m/09x0r"
HdsRdttAC04, 420.000, 430.000, "/m/0l156k"
HdvvHxY1mDQ, 10.000, 20.000, "/m/014yck,/m/07yv9,/m/09x0r,/m/0k5j,/t/dd00128"
HeCcfjQngB8, 20.000, 30.000, "/m/07pyf11,/m/07yv9,/m/0k4j"
HfmD4ZncSbo, 30.000, 40.000, "/m/015y_n,/m/04rlf,/m/07q4ntr,/m/07rwj3x"
HgDZJ5h33SI, 40.000, 50.000, "/m/014yck,/m/02mk9,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00128"
Hhs4ibVBwNI, 10.000, 20.000, "/m/068hy,/m/0bt9lr,/m/0ghcn6,/m/0jbk"
HjgCRSXWr-U, 30.000, 40.000, "/m/01yg9g,/m/07yv9"
HlkTBzP1bYY, 250.000, 260.000, "/m/04_sv,/m/04rlf,/m/07r67yg,/m/07yv9,/t/dd00128"
Hmm0pfyVvvY, 0.000, 10.000, "/m/01g50p,/m/06d_3,/m/07jdr,/m/07yv9,/m/09t49"
Hn64RM3yneo, 40.000, 50.000, "/m/04fq5q"
Ho9r2sbfGfA, 0.000, 9.000, "/m/02mfyn"
HotmT3r9_vc, 420.000, 430.000, "/m/0195fx,/m/01g50p,/m/06d_3,/m/07jdr,/m/07rwm0c"
HpWM0fc809Q, 370.000, 380.000, "/m/05tny_,/m/068hy,/m/07r_k2n,/m/09x0r,/m/0ghcn6,/m/0ytgt,/t/dd00125"
Hpbjn4LAcKk, 0.000, 10.000, "/m/07yv9,/m/0btp2,/m/0k4j"
HqS5gBt59TY, 10.000, 20.000, "/m/07p6fty,/m/09x0r"
HqzzvRL1raY, 170.000, 180.000, "/m/012ndj,/m/03j1ly,/m/03kmc9"
Hr45UQtydpQ, 50.000, 60.000, "/m/014yck,/m/02l6bg,/m/07yv9,/m/0k5j"
Ht_IiMEbMJk, 70.000, 80.000, "/m/03qc9zr,/m/09x0r,/m/0ytgt"
